Developer,Latitude,Longitude,Place Name,Address
RedLynx,60.196364,24.9422114,RedLynx Oy,"Kumpulantie 3 3rd Floor, 00520 Helsinki, Finnland"
Arkane Studios,45.7370128,4.815106999999999,Arkane Lyon,"49 Quai Rambaud, 69002 Lyon, Frankreich"
Office Create,35.6762,139.6503,Office Create,"""Headquarters: Zentrale: Tokio, Japan"""
Mythos Games,40.5581472,-111.9098984,Mythos Games,"681 W 10600 S, South Jordan, UT 84095, Vereinigte Staaten"
Sumo Digital,53.4070046,-1.4207064,Sumo Digital,"32, Jessops Riverside, 800 Brightside Ln, Sheffield S9 2RX, Vereinigtes Königreich"
Fox Video Games,50.9460202,6.9387218,retrospiel,"Gladbacher Str. 33, 50672 Köln, Deutschland"
Jupiter Corporation,51.5272417,-0.0886692999999999,Jupiter Mining Corporation Ltd,"Kemp House +447723409421, 128 City Rd, London EC1V 2NX, Vereinigtes Königreich"
Monomi Park,37.565458,-122.3212749,Monomi Park,"360 S Railroad Ave, San Mateo, CA 94401, Vereinigte Staaten"
Muse Software,39.2904,-76.6122,Muse Software,"""Headquarters: Zentrale: Baltimore, Maryland, USA (ehemaliges Studio)"""
Core Design Ltd.,53.2909309,-113.5327139,Core Design Ltd.,"3908 71 Ave, Leduc, AB T9E 0R8, Kanada"
Obsidian Entertainment,51.433035,5.4311262,Obsidian Mastering,"Hurksestraat 19, 5652 AH Eindhoven, Niederlande"
Spike Chunsoft,35.6762,139.6503,Spike Chunsoft,"""Headquarters: Zentrale: Tokio, Japan"""
Microsoft,47.6396,-122.1282,Microsoft,"""Headquarters: Zentrale: Redmond, Washington, USA"""
